               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.078669,            0.056762,             0.01637,             0.63997,             0.18662,             0.11977,            0.037397,            0.075716,            0.037953,            0.011716,            0.008284,            0.008284,            0.008284
                  54,            0.078026,            0.054982,            0.014131,             0.60989,             0.22887,            0.097955,            0.028146,            0.082826,            0.044316,             0.01199,            0.008251,            0.008251,            0.008251
                  55,            0.080036,            0.050543,            0.013901,             0.66118,             0.20423,             0.13855,            0.044926,            0.073597,            0.041892,            0.011862,            0.008218,            0.008218,            0.008218
                  56,            0.075159,            0.056248,            0.012814,             0.60988,              0.1831,            0.098566,            0.033666,            0.081258,            0.056519,            0.012036,            0.008185,            0.008185,            0.008185
                  57,            0.080859,            0.061916,            0.014117,              0.6485,             0.17958,             0.13333,            0.042678,            0.073889,            0.037869,            0.011868,            0.008152,            0.008152,            0.008152
                  58,            0.076659,            0.057717,            0.014943,             0.64071,             0.17254,              0.1127,            0.038966,            0.080571,            0.042427,            0.011932,            0.008119,            0.008119,            0.008119
                  59,            0.074852,            0.054357,            0.015002,             0.62198,             0.11268,            0.059212,            0.021359,            0.086881,            0.039313,            0.011655,            0.008086,            0.008086,            0.008086
                  60,            0.077593,            0.054973,            0.014703,             0.70013,             0.21127,             0.18553,            0.066153,            0.071604,            0.038578,            0.011874,            0.008053,            0.008053,            0.008053
                  61,            0.074214,            0.049648,            0.014519,             0.61433,             0.14926,            0.061719,            0.021087,            0.089779,             0.03899,            0.012054,             0.00802,             0.00802,             0.00802
                  62,            0.072892,            0.063007,            0.014513,             0.65286,             0.22183,             0.17395,            0.050239,            0.074419,            0.052387,            0.011899,            0.007987,            0.007987,            0.007987
                  63,            0.076119,            0.057686,            0.016296,             0.70133,              0.1831,             0.16539,            0.053449,            0.074866,            0.033955,            0.011551,            0.007954,            0.007954,            0.007954
                  64,            0.070007,            0.052492,            0.014987,             0.70994,             0.19718,             0.18365,            0.066936,            0.070885,            0.038687,            0.012329,            0.007921,            0.007921,            0.007921
                  65,            0.070671,            0.052107,            0.014366,             0.61063,             0.24296,             0.14345,            0.051109,            0.076249,            0.040054,            0.012891,            0.007888,            0.007888,            0.007888
                  66,            0.072956,            0.053634,            0.014031,             0.63163,             0.24296,             0.13712,            0.054389,            0.070305,            0.037044,            0.012921,            0.007855,            0.007855,            0.007855
                  67,             0.06805,            0.053506,            0.013513,             0.64487,             0.22183,              0.1541,            0.054176,            0.072783,            0.043922,            0.012204,            0.007822,            0.007822,            0.007822
                  68,            0.071239,            0.057991,            0.014531,             0.74002,             0.20423,             0.20913,            0.081512,            0.072977,            0.036167,            0.012305,            0.007789,            0.007789,            0.007789
                  69,            0.069989,            0.051635,            0.014545,             0.65577,             0.17254,             0.11284,            0.038306,            0.077358,            0.035548,             0.01217,            0.007756,            0.007756,            0.007756
                  70,            0.067502,            0.051625,            0.014815,             0.80759,             0.22887,             0.23955,            0.085303,            0.066368,            0.031557,            0.011911,            0.007723,            0.007723,            0.007723
                  71,            0.067499,            0.063005,            0.014744,             0.72194,             0.19366,              0.1711,            0.062803,            0.071156,            0.032582,            0.012109,             0.00769,             0.00769,             0.00769
                  72,            0.066911,             0.05479,            0.014869,             0.66911,              0.2007,             0.16215,            0.053961,            0.071624,            0.034168,            0.012122,            0.007657,            0.007657,            0.007657
                  73,            0.066033,            0.050396,             0.01412,             0.68603,             0.19014,             0.14012,            0.049734,            0.071785,            0.030706,            0.012051,            0.007624,            0.007624,            0.007624
                  74,            0.067767,            0.056867,            0.012272,              0.6778,             0.16901,             0.14113,            0.051824,            0.072149,            0.030229,            0.011966,            0.007591,            0.007591,            0.007591
                  75,             0.06685,            0.055808,            0.013535,             0.72461,             0.19014,             0.18355,            0.064852,            0.072647,             0.02981,            0.012015,            0.007558,            0.007558,            0.007558
                  76,            0.069687,            0.052825,            0.015309,             0.73557,             0.23239,             0.24222,            0.084335,            0.065377,            0.032054,            0.012277,            0.007525,            0.007525,            0.007525
                  77,            0.067538,            0.051268,            0.012943,             0.66907,             0.17606,              0.1298,            0.046842,            0.074092,            0.034033,            0.012088,            0.007492,            0.007492,            0.007492
                  78,             0.06747,            0.046835,            0.016438,              0.7001,             0.25352,              0.2048,            0.071514,            0.065988,            0.033072,            0.012177,            0.007459,            0.007459,            0.007459
